,date,open,high,low,close,volume,oi
78,2022-06-22 14:37:00+05:30,110,110,110,110,0,850
79,2022-06-22 14:38:00+05:30,110,110,110,110,0,850
80,2022-06-22 14:41:00+05:30,110,110,110,110,0,850
81,2022-06-22 14:42:00+05:30,110,110,110,110,0,850
82,2022-06-22 14:43:00+05:30,110,110,110,110,0,850
83,2022-06-22 14:46:00+05:30,110,110,110,110,0,850
84,2022-06-22 14:47:00+05:30,110,110,110,110,0,850
85,2022-06-22 14:48:00+05:30,110,110,110,110,0,850
86,2022-06-22 14:49:00+05:30,110,110,110,110,0,850
87,2022-06-22 14:50:00+05:30,110,110,110,110,0,850
88,2022-06-22 14:51:00+05:30,110,110,110,110,0,850
89,2022-06-22 14:52:00+05:30,110,110,110,110,0,850
90,2022-06-22 14:53:00+05:30,110,110,110,110,0,850
91,2022-06-22 14:54:00+05:30,110,110,110,110,0,850
92,2022-06-22 14:55:00+05:30,110,110,110,110,0,850
93,2022-06-22 14:57:00+05:30,110,110,110,110,0,850
94,2022-06-22 14:58:00+05:30,110,110,110,110,0,850
95,2022-06-22 14:59:00+05:30,110,110,110,110,0,850
96,2022-06-22 15:00:00+05:30,110,110,110,110,0,850
97,2022-06-22 15:01:00+05:30,110,110,110,110,0,850
98,2022-06-22 15:02:00+05:30,110,110,110,110,0,850
99,2022-06-22 15:03:00+05:30,110,110,110,110,0,850
100,2022-06-22 15:04:00+05:30,110,110,110,110,0,850
101,2022-06-22 15:05:00+05:30,110,110,110,110,0,850
102,2022-06-22 15:06:00+05:30,110,110,110,110,0,850
103,2022-06-22 15:07:00+05:30,110,110,110,110,0,850
104,2022-06-22 15:08:00+05:30,110,110,110,110,0,850
105,2022-06-22 15:09:00+05:30,110,110,110,110,0,850
106,2022-06-22 15:10:00+05:30,110,110,110,110,0,850
107,2022-06-22 15:11:00+05:30,110,110,110,110,0,850
108,2022-06-22 15:12:00+05:30,110,110,110,110,0,850
109,2022-06-22 15:13:00+05:30,110,110,110,110,0,850
110,2022-06-22 15:14:00+05:30,110,110,110,110,0,850
111,2022-06-22 15:15:00+05:30,110,110,110,110,0,850
112,2022-06-22 15:16:00+05:30,110,110,110,110,0,850
113,2022-06-22 15:17:00+05:30,110,110,110,110,0,850
114,2022-06-22 15:21:00+05:30,110,110,110,110,0,850
115,2022-06-22 15:29:00+05:30,110,110,110,110,0,850
116,2022-06-28 11:15:00+05:30,135,135,135,135,0,850
117,2022-06-28 11:16:00+05:30,135,135,135,135,0,850
118,2022-06-28 11:17:00+05:30,135,135,135,135,0,850
119,2022-06-28 11:21:00+05:30,135,135,135,135,0,850
120,2022-06-28 11:24:00+05:30,135,135,135,135,0,850
121,2022-06-28 11:25:00+05:30,135,135,135,135,0,850
122,2022-06-28 11:26:00+05:30,135,135,135,135,0,850
123,2022-06-28 11:30:00+05:30,135,135,135,135,0,850
124,2022-06-28 11:31:00+05:30,135,135,135,135,0,850
125,2022-06-28 11:32:00+05:30,135,135,135,135,0,850
126,2022-06-28 11:33:00+05:30,135,135,135,135,0,850
127,2022-06-28 11:34:00+05:30,135,135,135,135,0,850
128,2022-06-28 11:43:00+05:30,135,135,135,135,0,850
129,2022-06-28 11:44:00+05:30,135,135,135,135,0,850
130,2022-06-28 11:45:00+05:30,135,135,135,135,0,850
131,2022-06-28 11:46:00+05:30,135,135,135,135,0,850
132,2022-06-28 11:47:00+05:30,135,135,135,135,0,850
133,2022-06-28 11:59:00+05:30,135,135,135,135,0,850
134,2022-06-28 12:16:00+05:30,135,135,135,135,0,850
135,2022-06-28 12:24:00+05:30,135,135,135,135,0,850
136,2022-06-28 12:25:00+05:30,135,135,135,135,0,850
137,2022-06-28 12:26:00+05:30,135,135,135,135,0,850
138,2022-06-28 12:28:00+05:30,135,135,135,135,0,850
139,2022-06-28 12:29:00+05:30,135,135,135,135,0,850
140,2022-06-28 12:31:00+05:30,135,135,135,135,0,850
141,2022-06-28 12:32:00+05:30,135,135,135,135,0,850
142,2022-06-28 12:34:00+05:30,135,135,135,135,0,850
143,2022-06-28 12:35:00+05:30,135,135,135,135,0,850
144,2022-06-28 12:39:00+05:30,135,135,135,135,0,850
145,2022-06-28 12:41:00+05:30,135,135,135,135,0,850
146,2022-06-28 12:42:00+05:30,135,135,135,135,0,850
147,2022-06-28 12:43:00+05:30,135,135,135,135,0,850
148,2022-06-28 12:50:00+05:30,135,135,135,135,0,850
149,2022-06-28 12:51:00+05:30,135,135,135,135,0,850
150,2022-06-28 12:52:00+05:30,135,135,135,135,0,850
151,2022-06-28 12:53:00+05:30,135,135,135,135,0,850
152,2022-06-28 12:54:00+05:30,135,135,135,135,0,850
153,2022-06-28 12:55:00+05:30,135,135,135,135,0,850
154,2022-06-28 13:04:00+05:30,135,135,135,135,0,850
155,2022-06-28 13:05:00+05:30,135,135,135,135,0,850
156,2022-06-28 13:06:00+05:30,135,135,135,135,0,850
157,2022-06-28 13:09:00+05:30,135,135,135,135,0,850
158,2022-06-28 13:10:00+05:30,135,135,135,135,0,850
159,2022-06-28 13:11:00+05:30,135,135,135,135,0,850
160,2022-06-28 13:12:00+05:30,135,135,135,135,0,850
161,2022-06-28 13:13:00+05:30,135,135,135,135,0,850
162,2022-06-28 13:15:00+05:30,135,135,135,135,0,850
163,2022-06-28 13:18:00+05:30,135,135,135,135,0,850
164,2022-06-28 13:19:00+05:30,135,135,135,135,0,850
165,2022-06-28 13:20:00+05:30,135,135,135,135,0,850
166,2022-06-28 13:22:00+05:30,135,135,135,135,0,850
167,2022-06-28 13:26:00+05:30,135,135,135,135,0,850
168,2022-06-28 13:29:00+05:30,135,135,135,135,0,850
169,2022-06-28 13:30:00+05:30,135,135,135,135,0,850
170,2022-06-28 13:31:00+05:30,135,135,135,135,0,850
171,2022-06-28 13:32:00+05:30,135,135,135,135,0,850
172,2022-06-28 13:33:00+05:30,135,135,135,135,0,850
173,2022-06-28 13:34:00+05:30,135,135,135,135,0,850
174,2022-06-28 13:35:00+05:30,135,135,135,135,0,850
175,2022-06-28 13:36:00+05:30,135,135,135,135,0,850
176,2022-06-28 13:37:00+05:30,135,135,135,135,0,850
177,2022-06-28 13:38:00+05:30,135,135,135,135,0,850
178,2022-06-28 13:42:00+05:30,135,135,135,135,0,850
179,2022-06-28 13:46:00+05:30,135,135,135,135,0,850
180,2022-06-28 13:47:00+05:30,135,135,135,135,0,850
181,2022-06-28 13:50:00+05:30,135,135,135,135,0,850
182,2022-06-28 13:56:00+05:30,135,135,135,135,0,850
183,2022-06-28 14:03:00+05:30,135,135,135,135,0,850
184,2022-06-28 14:09:00+05:30,135,135,135,135,0,850
185,2022-06-28 14:10:00+05:30,135,135,135,135,0,850
186,2022-06-28 14:11:00+05:30,135,135,135,135,0,850
187,2022-06-28 14:12:00+05:30,135,135,135,135,0,850
188,2022-06-28 14:15:00+05:30,135,135,135,135,0,850
189,2022-06-28 14:16:00+05:30,135,135,135,135,0,850
190,2022-06-28 14:17:00+05:30,135,135,135,135,0,850
191,2022-06-28 14:21:00+05:30,135,135,135,135,0,850
192,2022-06-28 14:22:00+05:30,135,135,135,135,0,850
193,2022-06-28 14:30:00+05:30,135,135,135,135,0,850
194,2022-06-28 14:31:00+05:30,135,135,135,135,0,850
195,2022-06-28 14:35:00+05:30,135,135,135,135,0,850
