name,date,close
Nifty 50,2021-12-22 09:07:59+5:30,16865.55
Nifty 50,2021-12-22 09:08:00+5:30,16865.55
Nifty 50,2021-12-22 09:08:01+5:30,16865.55
Nifty 50,2021-12-22 09:08:02+5:30,16865.55
Nifty 50,2021-12-22 09:08:03+5:30,16865.55
Nifty 50,2021-12-22 09:08:04+5:30,16865.55
Nifty 50,2021-12-22 09:08:05+5:30,16865.55
Nifty 50,2021-12-22 09:08:06+5:30,16865.55
Nifty 50,2021-12-22 09:08:07+5:30,16865.55
Nifty 50,2021-12-22 09:08:08+5:30,16865.55
Nifty 50,2021-12-22 09:08:09+5:30,16865.55
Nifty 50,2021-12-22 09:08:10+5:30,16865.55
Nifty 50,2021-12-22 09:08:11+5:30,16865.55
Nifty 50,2021-12-22 09:08:12+5:30,16865.55
Nifty 50,2021-12-22 09:08:13+5:30,16865.55
Nifty 50,2021-12-22 09:08:14+5:30,16865.55
Nifty 50,2021-12-22 09:08:15+5:30,16865.55
Nifty 50,2021-12-22 09:08:16+5:30,16865.55
Nifty 50,2021-12-22 09:08:17+5:30,16865.55
Nifty 50,2021-12-22 09:08:18+5:30,16865.55
Nifty 50,2021-12-22 09:08:19+5:30,16865.55
Nifty 50,2021-12-22 09:08:20+5:30,16865.55
Nifty 50,2021-12-22 09:08:21+5:30,16865.55
Nifty 50,2021-12-22 09:08:22+5:30,16865.55
Nifty 50,2021-12-22 09:08:23+5:30,16865.55
Nifty 50,2021-12-22 09:08:24+5:30,16865.55
Nifty 50,2021-12-22 09:08:25+5:30,16865.55
Nifty 50,2021-12-22 09:08:26+5:30,16865.55
Nifty 50,2021-12-22 09:08:27+5:30,16865.55
Nifty 50,2021-12-22 09:08:28+5:30,16865.55
Nifty 50,2021-12-22 09:08:29+5:30,16865.55
Nifty 50,2021-12-22 09:08:30+5:30,16865.55
Nifty 50,2021-12-22 09:08:31+5:30,16865.55
Nifty 50,2021-12-22 09:08:32+5:30,16865.55
Nifty 50,2021-12-22 09:08:33+5:30,16865.55
Nifty 50,2021-12-22 09:08:34+5:30,16865.55
Nifty 50,2021-12-22 09:08:35+5:30,16865.55
Nifty 50,2021-12-22 09:08:36+5:30,16865.55
Nifty 50,2021-12-22 09:08:37+5:30,16865.55
Nifty 50,2021-12-22 09:08:38+5:30,16865.55
Nifty 50,2021-12-22 09:08:39+5:30,16865.55
Nifty 50,2021-12-22 09:08:40+5:30,16865.55
Nifty 50,2021-12-22 09:08:41+5:30,16865.55
Nifty 50,2021-12-22 09:08:42+5:30,16865.55
Nifty 50,2021-12-22 09:08:43+5:30,16865.55
Nifty 50,2021-12-22 09:08:44+5:30,16865.55
Nifty 50,2021-12-22 09:08:45+5:30,16865.55
Nifty 50,2021-12-22 09:08:46+5:30,16865.55
Nifty 50,2021-12-22 09:08:47+5:30,16865.55
Nifty 50,2021-12-22 09:08:48+5:30,16865.55
Nifty 50,2021-12-22 09:08:49+5:30,16865.55
Nifty 50,2021-12-22 09:08:50+5:30,16865.55
Nifty 50,2021-12-22 09:08:51+5:30,16865.55
Nifty 50,2021-12-22 09:08:52+5:30,16865.55
Nifty 50,2021-12-22 09:08:53+5:30,16865.55
Nifty 50,2021-12-22 09:08:54+5:30,16865.55
Nifty 50,2021-12-22 09:08:55+5:30,16865.55
Nifty 50,2021-12-22 09:08:56+5:30,16865.55
Nifty 50,2021-12-22 09:08:57+5:30,16865.55
Nifty 50,2021-12-22 09:08:58+5:30,16865.55
Nifty 50,2021-12-22 09:08:59+5:30,16865.55
Nifty 50,2021-12-22 09:09:00+5:30,16865.55
Nifty 50,2021-12-22 09:09:01+5:30,16865.55
Nifty 50,2021-12-22 09:09:02+5:30,16865.55
Nifty 50,2021-12-22 09:09:03+5:30,16865.55
Nifty 50,2021-12-22 09:09:04+5:30,16865.55
Nifty 50,2021-12-22 09:09:05+5:30,16865.55
Nifty 50,2021-12-22 09:09:06+5:30,16865.55
Nifty 50,2021-12-22 09:09:07+5:30,16865.55
Nifty 50,2021-12-22 09:09:08+5:30,16865.55
Nifty 50,2021-12-22 09:09:09+5:30,16865.55
Nifty 50,2021-12-22 09:09:10+5:30,16865.55
Nifty 50,2021-12-22 09:09:11+5:30,16865.55
Nifty 50,2021-12-22 09:09:12+5:30,16865.55
Nifty 50,2021-12-22 09:09:13+5:30,16865.55
Nifty 50,2021-12-22 09:09:14+5:30,16865.55
Nifty 50,2021-12-22 09:09:15+5:30,16865.55
Nifty 50,2021-12-22 09:09:16+5:30,16865.55
Nifty 50,2021-12-22 09:09:17+5:30,16865.55
Nifty 50,2021-12-22 09:09:18+5:30,16865.55
Nifty 50,2021-12-22 09:09:19+5:30,16865.55
Nifty 50,2021-12-22 09:09:20+5:30,16865.55
Nifty 50,2021-12-22 09:09:21+5:30,16865.55
Nifty 50,2021-12-22 09:09:22+5:30,16865.55
Nifty 50,2021-12-22 09:09:23+5:30,16865.55
Nifty 50,2021-12-22 09:09:24+5:30,16865.55
Nifty 50,2021-12-22 09:09:25+5:30,16865.55
Nifty 50,2021-12-22 09:09:26+5:30,16865.55
Nifty 50,2021-12-22 09:09:27+5:30,16865.55
Nifty 50,2021-12-22 09:09:28+5:30,16865.55
Nifty 50,2021-12-22 09:09:29+5:30,16865.55
Nifty 50,2021-12-22 09:09:30+5:30,16865.55
Nifty 50,2021-12-22 09:09:31+5:30,16865.55
Nifty 50,2021-12-22 09:09:32+5:30,16865.55
Nifty 50,2021-12-22 09:09:33+5:30,16865.55
Nifty 50,2021-12-22 09:09:34+5:30,16865.55
Nifty 50,2021-12-22 09:09:35+5:30,16865.55
Nifty 50,2021-12-22 09:09:36+5:30,16865.55
Nifty 50,2021-12-22 09:09:37+5:30,16865.55
Nifty 50,2021-12-22 09:09:38+5:30,16865.55
Nifty 50,2021-12-22 09:09:39+5:30,16865.55
Nifty 50,2021-12-22 09:09:40+5:30,16865.55
Nifty 50,2021-12-22 09:09:41+5:30,16865.55
Nifty 50,2021-12-22 09:09:42+5:30,16865.55
Nifty 50,2021-12-22 09:09:43+5:30,16865.55
Nifty 50,2021-12-22 09:09:44+5:30,16865.55
Nifty 50,2021-12-22 09:09:45+5:30,16865.55
Nifty 50,2021-12-22 09:09:46+5:30,16865.55
Nifty 50,2021-12-22 09:09:47+5:30,16865.55
Nifty 50,2021-12-22 09:09:48+5:30,16865.55
Nifty 50,2021-12-22 09:09:49+5:30,16865.55
Nifty 50,2021-12-22 09:09:50+5:30,16865.55
Nifty 50,2021-12-22 09:09:51+5:30,16865.55
Nifty 50,2021-12-22 09:09:52+5:30,16865.55
Nifty 50,2021-12-22 09:09:53+5:30,16865.55
Nifty 50,2021-12-22 09:09:54+5:30,16865.55
Nifty 50,2021-12-22 09:09:55+5:30,16865.55
Nifty 50,2021-12-22 09:09:56+5:30,16865.55
